iter	RMSE
0	13.18720982
1	11.66893726
2	10.34224416
3	9.295646688
4	8.604863328
5	7.987310151
6	7.538057157
7	7.139608675
8	6.87303978
9	6.56898596
10	6.427152172
11	6.239168916
12	6.103403801
13	5.998862632
14	5.941876013
15	5.853620511
16	5.776316604
17	5.719008948
18	5.6733234
19	5.626124378
20	5.594835787
21	5.543572102
22	5.514462272
23	5.486013206
24	5.459533707
25	5.432602797
26	5.417499535
27	5.393641733
28	5.379046727
29	5.362869827
30	5.346191413
31	5.336320881
32	5.323437036
33	5.306835563
34	5.287379604
35	5.278017886
36	5.263385425
37	5.255106241
38	5.232062385
39	5.212254338
40	5.202543445
41	5.17976382
42	5.165201385
43	5.157566688
44	5.148670748
45	5.137619478
46	5.13317421
47	5.127167155
48	5.119775786
49	5.095830733
