iter	Passed	Remaining
0	149	7318
1	150	3601
2	150	2363
3	151	1744
4	153	1382
5	154	1135
6	155	954
7	156	820
8	156	714
9	157	630
10	158	560
11	159	504
12	159	454
13	160	412
14	160	374
15	161	342
16	161	313
17	161	287
18	162	264
19	162	243
20	162	225
21	163	207
22	163	192
23	164	177
24	164	164
25	164	152
26	165	140
27	165	130
28	166	120
29	166	110
30	166	102
31	167	94
32	167	86
33	168	79
34	168	72
35	168	65
36	169	59
37	169	53
38	170	48
39	171	42
40	172	37
41	173	33
42	173	28
43	174	23
44	174	19
45	175	15
46	175	11
47	176	7
48	176	3
49	176	0
